To,Location
HEX2[1],PIN_A16
HEX2[0],PIN_D15
HEX2[7],PIN_A18
HEX3[6],PIN_G15
HEX3[5],PIN_D19
HEX3[4],PIN_C19
HEX3[3],PIN_B19
HEX3[2],PIN_A19
HEX3[1],PIN_F15
HEX3[0],PIN_B18
HEX3[7],PIN_G16
DRAM_CAS_N,PIN_G8
DRAM_CS_N,PIN_G7
DRAM_CLK,PIN_E5
DRAM_CKE,PIN_E6
DRAM_BA[0],PIN_B5
DRAM_BA[1],PIN_A4
DRAM_DQ[15],PIN_F10
DRAM_DQ[14],PIN_E10
DRAM_DQ[13],PIN_A10
DRAM_DQ[12],PIN_B10
DRAM_DQ[11],PIN_C10
DRAM_DQ[10],PIN_A9
DRAM_DQ[9],PIN_B9
DRAM_DQ[8],PIN_A8
DRAM_DQ[7],PIN_F8
DRAM_DQ[6],PIN_H9
DRAM_DQ[5],PIN_G9
DRAM_DQ[4],PIN_F9
DRAM_DQ[3],PIN_E9
DRAM_DQ[2],PIN_H10
DRAM_DQ[1],PIN_G10
DRAM_DQ[0],PIN_D10
DRAM_DQM[0],PIN_E7
DRAM_DQM[1],PIN_B8
DRAM_RAS_N,PIN_F7
DRAM_WE_N,PIN_D6
CLOCK_50_2,PIN_B12
DRAM_ADDR[12],PIN_C8
DRAM_ADDR[11],PIN_A7
DRAM_ADDR[10],PIN_B4
DRAM_ADDR[9],PIN_B7
DRAM_ADDR[8],PIN_C7
DRAM_ADDR[7],PIN_A6
DRAM_ADDR[6],PIN_B6
DRAM_ADDR[5],PIN_C6
DRAM_ADDR[4],PIN_A5
DRAM_ADDR[3],PIN_C3
DRAM_ADDR[2],PIN_B3
DRAM_ADDR[1],PIN_A3
DRAM_ADDR[0],PIN_C4
